fight_id,event_id,date,weight_class,winner,loser,win_by,method,round,time,time_format,title_fight,fight_of_night,performance_bonus,fight_name,referee,attendance,location,event_name,url
5585,515,2020-05-13 00:00:00,Light Heavyweight,Glover Teixeira,Anthony Smith,KO/TKO,Punches,5,1:04,5 Rnd (5-5-5-5-5),False,False,True,Light Heavyweight Bout,Jason Herzog,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/8539c4b795d33a92
5584,515,2020-05-13 00:00:00,Heavyweight,Ben Rothwell,Ovince Saint Preux,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Dan Miragliotta,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/394ae51820bedd4c
5583,515,2020-05-13 00:00:00,Lightweight,Drew Dober,Alexander Hernandez,KO/TKO,Punches,2,4:25,3 Rnd (5-5-5),False,False,True,Lightweight Bout,Herb Dean,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/46c050a827ee83d6
5582,515,2020-05-13 00:00:00,Bantamweight,Ricky Simon,Ray Borg,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Bantamweight Bout,,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/3094e82731ec55e7
5581,515,2020-05-13 00:00:00,Heavyweight,Andrei Arlovski,Philipe Lins,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Herb Dean,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/312946f6b72ebd51
5580,515,2020-05-13 00:00:00,Lightweight,Thiago Moises,Michael Johnson,SUB,Ankle Lock,2,0:25,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Keith Peterson,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/87f58feac6b50367
5579,515,2020-05-13 00:00:00,Women's Bantamweight,Sijara Eubanks,Sarah Moras,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Bantamweight Bout,Michael Cardoso,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/fbbba3da4438cb04
5578,515,2020-05-13 00:00:00,Lightweight,Omar Morales,Gabriel Benitez,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Lightweight Bout,Dan Miragliotta,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/918103d82ecbed75
5577,515,2020-05-13 00:00:00,Featherweight,Brian Kelleher,Hunter Azure,KO/TKO,Punch,2,3:40,3 Rnd (5-5-5),False,True,False,Featherweight Bout,Jason Herzog,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/3ce634d03af7e14c
5576,515,2020-05-13 00:00:00,Heavyweight,Chase Sherman,Ike Villanueva,KO/TKO,Elbow,2,0:49,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Michael Cardoso,,"Jacksonville, Florida, USA",UFC Fight Night: Smith vs. Teixeira,http://www.ufcstats.com/fight-details/b2ca310c9d0037d3
5575,514,2020-05-09,Lightweight,Justin Gaethje,Tony Ferguson,KO/TKO,Punch,5,3:39,5 Rnd (5-5-5-5-5),True,True,True,UFC Interim Lightweight Title Bout,Herb Dean,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/d395828f5cb045a5
5574,514,2020-05-09,Bantamweight,Henry Cejudo,Dominick Cruz,KO/TKO,Knee,2,4:58,5 Rnd (5-5-5-5-5),True,False,False,UFC Bantamweight Title Bout,Keith Peterson,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/4e77cc2c8d604241
5573,514,2020-05-09,Heavyweight,Francis Ngannou,Jairzinho Rozenstruik,KO/TKO,Punch,1,0:20,3 Rnd (5-5-5),False,False,True,Heavyweight Bout,Dan Miragliotta,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/fcfaa28ed6888088
5572,514,2020-05-09,Featherweight,Calvin Kattar,Jeremy Stephens,KO/TKO,Elbow,2,2:49,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Jason Herzog,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/02f5621f480ad1d4
5571,514,2020-05-09,Heavyweight,Greg Hardy,Yorgan De Castro,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Herb Dean,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/f0d4652f8edfbe6d
5570,514,2020-05-09,Welterweight,Anthony Pettis,Donald Cerrone,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Keith Peterson,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/b9abcce29378e5cc
5569,514,2020-05-09,Heavyweight,Aleksei Oleinik,Fabricio Werdum,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Heavyweight Bout,Herb Dean,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/593f3b051aa82b0f
5568,514,2020-05-09,Women's Strawweight,Carla Esparza,Michelle Waterson,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Women's Strawweight Bout,Dan Miragliotta,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/f2520dd5457ab293
5567,514,2020-05-09,Welterweight,Vicente Luque,Niko Price,KO/TKO,Punches,3,3:37,3 Rnd (5-5-5),False,False,False,Welterweight Bout,Jason Herzog,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/3f810c3433dddb80
5566,514,2020-05-09,Featherweight,Bryce Mitchell,Charles Rosa,U-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Featherweight Bout,Keith Peterson,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/08244974cf39ae38
5565,514,2020-05-09,Light Heavyweight,Ryan Spann,Sam Alvey,S-DEC,,3,5:00,3 Rnd (5-5-5),False,False,False,Light Heavyweight Bout,Dan Miragliotta,0,"Jacksonville, Florida, USA",UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/b70dfff154b135bf
5564,513,2020-03-14,Lightweight,Charles Oliveira,Kevin Lee,SUB,Guillotine Choke,3,0:28,5 Rnd (5-5-5-5-5),False,False,True,Lightweight Bout,Mike Beltran,0,"Brasilia, Distrito Federal, Brazil",UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/e0b323dae5bf4c90
