fight_id,fighter,w,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5585,Glover Teixeira,W,1,138,226,0.61,202,297,0,5,0,1,2,0.5,112,192,17,25,9,9,63,129,12,21,63,76
5585,Anthony Smith,L,0,86,210,0.4,87,212,0,0,0,1,3,0.33,63,171,17,31,6,8,85,205,1,5,0,0
5584,Ben Rothwell,W,0,56,110,0.5,86,142,0,0,0,1,3,0.33,37,89,15,17,4,4,40,79,14,29,2,2
5584,Ovince Saint Preux,L,1,42,82,0.51,46,87,0,0,0,0,0,0.0,27,62,13,15,2,5,33,70,9,12,0,0
5583,Drew Dober,W,0,61,145,0.42,65,149,0,0,0,0,0,0.0,48,126,6,10,7,9,54,135,7,10,0,0
5583,Alexander Hernandez,L,0,34,108,0.31,41,115,0,0,0,3,5,0.6,22,88,12,19,0,1,28,100,5,7,1,1
5582,Ricky Simon,W,0,67,144,0.46,93,170,0,5,0,7,11,0.63,44,115,13,18,10,11,54,129,5,7,8,8
5582,Ray Borg,L,0,47,91,0.51,53,98,0,0,1,0,2,0.0,33,71,14,19,0,1,47,91,0,0,0,0
5581,Andrei Arlovski,W,0,50,107,0.46,50,107,0,0,0,0,0,0.0,22,69,7,13,21,25,46,101,4,6,0,0
5581,Philipe Lins,L,0,41,99,0.41,41,99,0,0,0,0,0,0.0,26,71,7,18,8,10,38,95,3,4,0,0
5580,Thiago Moises,W,0,1,16,0.06,1,16,1,0,0,0,3,0.0,0,13,0,2,1,1,1,16,0,0,0,0
5580,Michael Johnson,L,0,27,60,0.45,28,61,0,0,0,0,0,0.0,8,24,13,29,6,7,26,59,0,0,1,1
5579,Sijara Eubanks,W,0,85,171,0.49,104,190,0,5,0,2,2,1.0,69,150,12,15,4,6,62,136,5,7,18,28
5579,Sarah Moras,L,0,44,138,0.31,84,179,0,0,0,0,1,0.0,22,104,12,22,10,12,41,129,3,9,0,0
5578,Omar Morales,W,0,63,215,0.29,63,215,0,0,0,0,0,0.0,36,178,20,28,7,9,61,210,2,5,0,0
5578,Gabriel Benitez,L,0,50,179,0.27,50,179,0,0,0,0,1,0.0,17,133,21,28,12,18,50,179,0,0,0,0
5577,Brian Kelleher,W,1,29,99,0.29,32,102,0,0,0,0,4,0.0,18,68,5,17,6,14,27,97,0,0,2,2
