first,last,full_name,nickname,height,weight,reach,stance,w,l,d,url
Tom,Aaron,Tom Aaron,,--,155 lbs.,--,,5.0,3.0,0.0,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny,Abbadi,Danny Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4.0,6.0,0.0,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde
David,Abbott,David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10.0,14.0,0.0,http://www.ufcstats.com/fighter-details/b361180739bed4b0
Shamil,Abdurakhimov,Shamil Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20.0,5.0,0.0,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki,Abe,Hiroyuki Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8.0,14.0,3.0,http://www.ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi,Abe,Daichi Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6.0,2.0,0.0,http://www.ufcstats.com/fighter-details/5140122c3eecd307
Papy,Abedi,Papy Abedi,Makambo,"5' 11""",185 lbs.,"74.0""",Southpaw,9.0,3.0,0.0,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo,Abreu,Ricardo Abreu,Demente,"5' 11""",185 lbs.,"73.0""",Orthodox,5.0,3.0,0.0,http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson,Abreu,Klidson Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15.0,4.0,0.0,http://www.ufcstats.com/fighter-details/7279654c7674cd24
Daniel,Acacio,Daniel Acacio,,"5' 8""",180 lbs.,--,Orthodox,26.0,12.0,0.0,http://www.ufcstats.com/fighter-details/1c5879330d42255f
Scott,Adams,Scott Adams,,"6' 0""",225 lbs.,--,Southpaw,8.0,1.0,0.0,http://www.ufcstats.com/fighter-details/2620f3eb21c79614
Juan,Adams,Juan Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5.0,3.0,0.0,http://www.ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony,Adams,Anthony Adams,Sugafoot,"6' 0""",185 lbs.,"77.0""",Orthodox,7.0,1.0,0.0,http://www.ufcstats.com/fighter-details/a77633a989013265
Israel,Adesanya,Israel Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,19.0,0.0,0.0,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e
