event_id,fight_id,fighter,w,str,td,sub,pass,weight_class,win_by,method,round,time,date,location,attendance,event_name,url
514,5575,Justin Gaethje,W,143,0,0,0,Lightweight,KO/TKO,Punch,5,3:39,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/d395828f5cb045a5
514,5575,Tony Ferguson,L,136,0,0,0,Lightweight,KO/TKO,Punch,5,3:39,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/d395828f5cb045a5
514,5574,Henry Cejudo,W,53,1,0,0,Bantamweight,KO/TKO,Knee,2,4:58,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/4e77cc2c8d604241
514,5574,Dominick Cruz,L,33,0,0,0,Bantamweight,KO/TKO,Knee,2,4:58,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/4e77cc2c8d604241
514,5573,Francis Ngannou,W,6,0,0,0,Heavyweight,KO/TKO,Punch,1,0:20,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/fcfaa28ed6888088
514,5573,Jairzinho Rozenstruik,L,5,0,0,0,Heavyweight,KO/TKO,Punch,1,0:20,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/fcfaa28ed6888088
514,5572,Calvin Kattar,W,52,0,0,0,Featherweight,KO/TKO,Elbow,2,2:49,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/02f5621f480ad1d4
514,5572,Jeremy Stephens,L,57,0,0,0,Featherweight,KO/TKO,Elbow,2,2:49,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/02f5621f480ad1d4
514,5571,Greg Hardy,W,55,0,0,0,Heavyweight,U-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/f0d4652f8edfbe6d
514,5571,Yorgan De Castro,L,24,0,0,0,Heavyweight,U-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/f0d4652f8edfbe6d
514,5570,Anthony Pettis,W,63,0,0,0,Welterweight,U-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/b9abcce29378e5cc
514,5570,Donald Cerrone,L,62,2,0,1,Welterweight,U-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/b9abcce29378e5cc
514,5569,Aleksei Oleinik,W,94,0,0,0,Heavyweight,S-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/593f3b051aa82b0f
514,5569,Fabricio Werdum,L,53,3,1,6,Heavyweight,S-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/593f3b051aa82b0f
514,5568,Carla Esparza,W,45,1,0,0,Women's Strawweight,S-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/f2520dd5457ab293
514,5568,Michelle Waterson,L,44,0,0,0,Women's Strawweight,S-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/f2520dd5457ab293
514,5567,Vicente Luque,W,130,0,0,0,Welterweight,KO/TKO,Punches,3,3:37,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/3f810c3433dddb80
514,5567,Niko Price,L,129,1,0,1,Welterweight,KO/TKO,Punches,3,3:37,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/3f810c3433dddb80
514,5566,Bryce Mitchell,W,40,3,5,14,Featherweight,U-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/08244974cf39ae38
514,5566,Charles Rosa,L,5,0,0,0,Featherweight,U-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/08244974cf39ae38
514,5565,Ryan Spann,W,51,2,1,0,Light Heavyweight,S-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/b70dfff154b135bf
514,5565,Sam Alvey,L,57,0,0,0,Light Heavyweight,S-DEC,,3,5:00,"May 09, 2020","Jacksonville, Florida, USA",0,UFC 249: Ferguson vs. Gaethje,http://www.ufcstats.com/fight-details/b70dfff154b135bf
513,5564,Charles Oliveira,W,43,0,2,0,Lightweight,SUB,Guillotine Choke,3,0:28,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/e0b323dae5bf4c90
513,5564,Kevin Lee,L,41,2,0,2,Lightweight,SUB,Guillotine Choke,3,0:28,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/e0b323dae5bf4c90
513,5563,Gilbert Burns,W,13,0,0,0,Welterweight,KO/TKO,Punch,1,2:34,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/5cee1d8f1e43d6f5
513,5563,Demian Maia,L,4,2,0,1,Welterweight,KO/TKO,Punch,1,2:34,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/5cee1d8f1e43d6f5
513,5562,Renato Moicano,W,1,1,1,1,Lightweight,SUB,Rear Naked Choke,1,0:44,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/c26a3f4c08333886
513,5562,Damir Hadzovic,L,1,0,0,0,Lightweight,SUB,Rear Naked Choke,1,0:44,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/c26a3f4c08333886
513,5561,Nikita Krylov,W,45,3,0,4,Light Heavyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/5bba49d88db7430f
513,5561,Johnny Walker,L,37,0,0,2,Light Heavyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/5bba49d88db7430f
513,5560,Francisco Trinaldo,W,55,0,0,0,Lightweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/dc45c8d70e256749
513,5560,John Makdessi,L,67,0,0,0,Lightweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/dc45c8d70e256749
513,5559,Brandon Moreno,W,33,0,0,1,Flyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/b3c74554c871fbf8
513,5559,Jussier Formiga,L,15,1,1,3,Flyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/b3c74554c871fbf8
513,5558,Amanda Ribas,W,85,1,2,4,Women's Strawweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/ea303a8e6e31f264
513,5558,Randa Markos,L,36,1,0,0,Women's Strawweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/ea303a8e6e31f264
513,5557,Elizeu Zaleski dos Santos,W,62,2,0,0,Welterweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/9fc6aba53508dc48
513,5557,Aleksei Kunchenko,L,57,0,0,0,Welterweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/9fc6aba53508dc48
513,5556,Rani Yahya,W,24,2,0,3,Bantamweight,M-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/e2503ed6a1f9257d
513,5556,Enrique Barzola,L,57,1,1,5,Bantamweight,M-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/e2503ed6a1f9257d
513,5555,Maryna Moroz,W,139,2,0,1,Women's Flyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/2a1826612a7d739c
513,5555,Mayra Bueno Silva,L,88,0,0,0,Women's Flyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/2a1826612a7d739c
513,5554,David Dvorak,W,67,0,0,1,Flyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/1a2d13834696c4ab
513,5554,Bruno Silva,L,45,3,0,2,Flyweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/1a2d13834696c4ab
513,5553,Bea Malecki,W,130,0,0,2,Women's Bantamweight,U-DEC,,3,5:00,"March 14, 2020","Brasilia, Distrito Federal, Brazil",0,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/fight-details/ef526567c4dcf371
