fight_id,fighter,round,kd,sig_str_landed,sig_str_attempted,signif_str_rate,total_strikes_landed,total_strikes_attempted,sub_att,pass,rev,takedown_landed,takedown_attempted,td_rate,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5575,Tony Ferguson,1,0,29,54,0.53,29,54,0,0,0,0,0,0.0,13,36,10,11,6,7,29,54,0,0,0,0
5575,Justin Gaethje,1,0,26,37,0.7,26,37,0,0,0,0,0,0.0,15,25,4,5,7,7,26,37,0,0,0,0
5575,Tony Ferguson,2,0,33,64,0.51,33,64,0,0,0,0,0,0.0,17,47,3,4,13,13,33,64,0,0,0,0
5575,Justin Gaethje,2,0,37,50,0.74,37,50,0,0,0,0,0,0.0,24,37,4,4,9,9,37,50,0,0,0,0
5575,Tony Ferguson,3,0,24,69,0.34,24,69,0,0,0,0,0,0.0,13,57,5,6,6,6,24,69,0,0,0,0
5575,Justin Gaethje,3,0,20,35,0.57,20,35,0,0,0,0,0,0.0,14,29,3,3,3,3,20,35,0,0,0,0
5575,Tony Ferguson,4,0,36,73,0.49,36,73,0,0,0,0,0,0.0,17,50,13,16,6,7,36,73,0,0,0,0
5575,Justin Gaethje,4,0,26,36,0.72,26,36,0,0,0,0,0,0.0,18,28,1,1,7,7,26,36,0,0,0,0
5575,Tony Ferguson,5,0,14,36,0.38,14,36,0,0,0,0,0,0.0,4,22,5,6,5,8,14,36,0,0,0,0
5575,Justin Gaethje,5,0,34,39,0.87,34,39,0,0,0,0,0,0.0,29,34,1,1,4,4,34,39,0,0,0,0
5574,Henry Cejudo,1,0,19,29,0.65,21,31,0,0,0,1,2,0.5,3,10,2,3,14,16,18,28,0,0,1,1
5574,Dominick Cruz,1,0,14,29,0.48,14,29,0,0,0,0,3,0.0,4,16,6,7,4,6,14,29,0,0,0,0
5574,Henry Cejudo,2,1,34,54,0.62,35,55,0,0,0,0,3,0.0,21,40,4,5,9,9,26,42,0,2,8,10
5574,Dominick Cruz,2,0,19,52,0.36,19,52,0,0,0,0,1,0.0,11,42,2,4,6,6,17,49,2,3,0,0
5573,Francis Ngannou,1,1,6,13,0.46,6,13,0,0,0,0,0,0.0,5,11,1,2,0,0,3,9,0,0,3,4
5573,Jairzinho Rozenstruik,1,0,5,5,1.0,5,5,0,0,0,0,0,0.0,3,3,0,0,2,2,5,5,0,0,0,0
5572,Jeremy Stephens,1,0,40,64,0.62,40,64,0,0,0,0,0,0.0,16,36,7,10,17,18,40,64,0,0,0,0
5572,Calvin Kattar,1,0,26,66,0.39,26,66,0,0,0,0,1,0.0,15,54,7,8,4,4,26,65,0,1,0,0
5572,Jeremy Stephens,2,0,17,40,0.42,17,40,0,0,0,0,0,0.0,8,30,2,2,7,8,16,39,1,1,0,0
5572,Calvin Kattar,2,1,26,47,0.55,26,47,0,0,0,0,0,0.0,17,38,5,5,4,4,21,38,1,3,4,6
5571,Greg Hardy,1,0,25,55,0.45,25,55,0,0,0,0,0,0.0,13,40,4,5,8,10,25,55,0,0,0,0
5571,Yorgan De Castro,1,0,15,41,0.36,15,41,0,0,0,0,0,0.0,6,30,1,3,8,8,15,41,0,0,0,0
5571,Greg Hardy,2,0,16,31,0.51,16,31,0,0,0,0,0,0.0,5,18,1,1,10,12,16,31,0,0,0,0
5571,Yorgan De Castro,2,0,4,11,0.36,4,11,0,0,0,0,0,0.0,0,6,0,1,4,4,4,11,0,0,0,0
5571,Greg Hardy,3,0,14,38,0.36,25,49,0,0,0,0,0,0.0,3,22,2,3,9,13,14,38,0,0,0,0
5571,Yorgan De Castro,3,0,5,17,0.29,5,17,0,0,0,0,0,0.0,0,8,1,3,4,6,5,17,0,0,0,0
5570,Anthony Pettis,1,0,15,27,0.55,21,35,0,0,0,0,0,0.0,7,13,4,8,4,6,13,25,0,0,2,2
5570,Donald Cerrone,1,0,17,31,0.54,17,31,0,1,0,1,2,0.5,10,23,5,5,2,3,16,30,1,1,0,0
5570,Anthony Pettis,2,0,21,38,0.55,33,50,0,0,0,0,1,0.0,13,28,4,6,4,4,21,38,0,0,0,0
5570,Donald Cerrone,2,0,20,52,0.38,20,52,0,0,0,1,2,0.5,8,38,5,7,7,7,19,51,1,1,0,0
5570,Anthony Pettis,3,0,27,48,0.56,27,48,0,0,0,0,0,0.0,24,43,2,4,1,1,26,47,1,1,0,0
5570,Donald Cerrone,3,0,25,65,0.38,25,65,0,0,0,0,4,0.0,13,51,8,10,4,4,24,62,1,3,0,0
5569,Aleksei Oleinik,1,0,54,94,0.57,71,112,0,0,0,0,0,0.0,47,86,5,5,2,3,39,76,15,18,0,0
5569,Fabricio Werdum,1,0,25,37,0.67,28,40,0,0,0,0,2,0.0,14,24,7,9,4,4,17,26,8,11,0,0
5569,Aleksei Oleinik,2,0,26,63,0.41,40,77,0,0,0,0,0,0.0,21,58,3,3,2,2,22,53,4,10,0,0
5569,Fabricio Werdum,2,0,24,38,0.63,29,43,0,2,0,1,2,0.5,12,23,7,10,5,5,15,29,6,6,3,3
5569,Aleksei Oleinik,3,0,14,26,0.53,38,52,0,0,1,0,0,0.0,11,23,2,2,1,1,11,20,3,5,0,1
5569,Fabricio Werdum,3,0,4,8,0.5,13,18,1,4,1,2,3,0.66,1,5,2,2,1,1,2,5,2,3,0,0
5568,Carla Esparza,1,0,5,18,0.27,7,20,0,0,0,1,1,1.0,3,14,1,2,1,2,4,17,0,0,1,1
5568,Michelle Waterson,1,0,9,28,0.32,9,28,0,0,0,0,0,0.0,4,18,2,3,3,7,9,28,0,0,0,0
5568,Carla Esparza,2,0,15,31,0.48,16,32,0,0,0,0,3,0.0,13,28,1,1,1,2,14,30,1,1,0,0
5568,Michelle Waterson,2,0,13,26,0.5,13,26,0,0,0,0,0,0.0,3,15,4,4,6,7,10,22,3,4,0,0
5568,Carla Esparza,3,0,25,54,0.46,25,54,0,0,0,0,6,0.0,18,46,4,5,3,3,21,47,4,7,0,0
5568,Michelle Waterson,3,0,22,44,0.5,22,44,0,0,0,0,0,0.0,8,27,7,9,7,8,20,42,2,2,0,0
5567,Vicente Luque,1,0,51,77,0.66,51,77,0,0,0,0,0,0.0,28,49,4,8,19,20,51,75,0,2,0,0
